ID	style	col	sample
acem2_0.15X_hap	Haploid	0.15X	acem2
acem2_0.1X_hap	Haploid	0.1X	acem2
acem2_0.25X_hap	Haploid	0.25X	acem2
acem2_0.2X_hap	Haploid	0.2X	acem2
acem2_0.3X_hap	Haploid	0.3X	acem2
acem2_0.4X_hap	Haploid	0.4X	acem2
acem2_0.5X_hap	Haploid	0.5X	acem2
acem2_0.75X_hap	Haploid	0.75X	acem2
acem2_1X_hap	Haploid	1X	acem2
acem2_2X_hap	Haploid	2X	acem2
acem2_4X_hap	Haploid	4X	acem2
blagotin3_0.15X_hap	Haploid	0.15X	blagotin3
blagotin3_0.1X_hap	Haploid	0.1X	blagotin3
blagotin3_0.25X_hap	Haploid	0.25X	blagotin3
blagotin3_0.2X_hap	Haploid	0.2X	blagotin3
blagotin3_0.3X_hap	Haploid	0.3X	blagotin3
blagotin3_0.4X_hap	Haploid	0.4X	blagotin3
blagotin3_0.5X_hap	Haploid	0.5X	blagotin3
blagotin3_0.75X_hap	Haploid	0.75X	blagotin3
blagotin3_1X_hap	Haploid	1X	blagotin3
blagotin3_2X_hap	Haploid	2X	blagotin3
blagotin3_4X_hap	Haploid	4X	blagotin3
blagotin3-relaxed_0.15X_hap	Haploid	0.15X	blagotin3
blagotin3-relaxed_0.1X_hap	Haploid	0.1X	blagotin3
blagotin3-relaxed_0.25X_hap	Haploid	0.25X	blagotin3
blagotin3-relaxed_0.2X_hap	Haploid	0.2X	blagotin3
blagotin3-relaxed_0.3X_hap	Haploid	0.3X	blagotin3
blagotin3-relaxed_0.4X_hap	Haploid	0.4X	blagotin3
blagotin3-relaxed_0.5X_hap	Haploid	0.5X	blagotin3
blagotin3-relaxed_0.75X_hap	Haploid	0.75X	blagotin3
blagotin3-relaxed_1X_hap	Haploid	1X	blagotin3
blagotin3-relaxed_2X_hap	Haploid	2X	blagotin3
blagotin3-relaxed_4X_hap	Haploid	4X	blagotin3
direkli1-2_0.15X_hap	Haploid	0.15X	direkli1-2
direkli1-2_0.1X_hap	Haploid	0.1X	direkli1-2
direkli1-2_0.25X_hap	Haploid	0.25X	direkli1-2
direkli1-2_0.2X_hap	Haploid	0.2X	direkli1-2
direkli1-2_0.3X_hap	Haploid	0.3X	direkli1-2
direkli1-2_0.4X_hap	Haploid	0.4X	direkli1-2
direkli1-2_0.5X_hap	Haploid	0.5X	direkli1-2
direkli1-2_0.75X_hap	Haploid	0.75X	direkli1-2
direkli1-2_1X_hap	Haploid	1X	direkli1-2
direkli1-2_2X_hap	Haploid	2X	direkli1-2
direkli1-2_4X_hap	Haploid	4X	direkli1-2
semnan3_0.15X_hap	Haploid	0.15X	semnan3
semnan3_0.1X_hap	Haploid	0.1X	semnan3
semnan3_0.25X_hap	Haploid	0.25X	semnan3
semnan3_0.2X_hap	Haploid	0.2X	semnan3
semnan3_0.3X_hap	Haploid	0.3X	semnan3
semnan3_0.4X_hap	Haploid	0.4X	semnan3
semnan3_0.5X_hap	Haploid	0.5X	semnan3
semnan3_0.75X_hap	Haploid	0.75X	semnan3
semnan3_1X_hap	Haploid	1X	semnan3
semnan3_2X_hap	Haploid	2X	semnan3
semnan3_4X_hap	Haploid	4X	semnan3
acem2_0.25X	Imputed	0.25X	acem2
acem2	HQ	HQ	acem2
blagotin3	HQ	HQ	blagotin3
blagotin3-relaxed_0.25X	Imputed	0.25X	blagotin3
blagotin3_0.25X	Imputed	0.25X	blagotin3
direkli1-2_0.25X	Imputed	0.25X	direkli1-2
direkli1-2	HQ	HQ	direkli1-2
semnan3_0.25X	Imputed	0.25X	semnan3
semnan3	HQ	HQ	semnan3
acem2_0.5X	Imputed	0.5X	acem2
acem2_0.75X	Imputed	0.75X	acem2
acem2_1X	Imputed	1X	acem2
blagotin3_0.5X	Imputed	0.5X	blagotin3
blagotin3-relaxed_0.5X	Imputed	0.5X	blagotin3
blagotin3_0.75X	Imputed	0.75X	blagotin3
blagotin3-relaxed_0.75X	Imputed	0.75X	blagotin3
blagotin3_1X	Imputed	1X	blagotin3
blagotin3-relaxed_1X	Imputed	1X	blagotin3
direkli1-2_0.5X	Imputed	0.5X	direkli1-2
direkli1-2_0.75X	Imputed	0.75X	direkli1-2
direkli1-2_1X	Imputed	1X	direkli1-2
semnan3_0.5X	Imputed	0.5X	semnan3
semnan3_0.75X	Imputed	0.75X	semnan3
semnan3_1X	Imputed	1X	semnan3
CNCH-JNG_CN-0012	Asia	Asia	Asia
CNCH-JNG_CN-0013	Asia	Asia	Asia
CNCH-JNG_CN-0014	Asia	Asia	Asia
CNCH-JNG_CN-0015	Asia	Asia	Asia
CNCH-JNG_CN-0016	Asia	Asia	Asia
CNCH-JNG_CN-0017	Asia	Asia	Asia
CNCH-JNG_CN-0018	Asia	Asia	Asia
CNCH-JNG_CN-0019	Asia	Asia	Asia
CNCH-JNG_CN-0020	Asia	Asia	Asia
CNCH-JNG_CN-0021	Asia	Asia	Asia
CNCH-JNG_CN-0022	Asia	Asia	Asia
CNCH-JNG_CN-0023	Asia	Asia	Asia
CNCH-JNG_CN-0024	Asia	Asia	Asia
CNCH-JNG_CN-0025	Asia	Asia	Asia
CNCH-JNG_CN-0026	Asia	Asia	Asia
CNCH-JNG_CN-0027	Asia	Asia	Asia
CNCH-JNG_CN-0028	Asia	Asia	Asia
CNCH-JNG_CN-0029	Asia	Asia	Asia
CNCH-JNG_CN-0030	Asia	Asia	Asia
CNCH-JNG_CN-0031	Asia	Asia	Asia
CNCH-JNG_CN-0032	Asia	Asia	Asia
CNCH-JNG_CN-0033	Asia	Asia	Asia
CNCH-JNG_CN-0034	Asia	Asia	Asia
CNCH-JNG_CN-0035	Asia	Asia	Asia
CNCH-JNG_CN-0036	Asia	Asia	Asia
CNCH-JNG_CN-0037	Asia	Asia	Asia
CNCH-JNG_CN-0038	Asia	Asia	Asia
CNCH-JNG_CN-0039	Asia	Asia	Asia
CNCH-JNG_CN-0040	Asia	Asia	Asia
CNCH-JNG_CN-0041	Asia	Asia	Asia
CNCH-JNG_CN-0042	Asia	Asia	Asia
CNCH-JNG_CN-0043	Asia	Asia	Asia
CNCH-JNG_CN-0044	Asia	Asia	Asia
CNCH-JNG_CN-0045	Asia	Asia	Asia
CNCH-JNG_CN-0046	Asia	Asia	Asia
CNCH-JNG_CN-0047	Asia	Asia	Asia
CNCH-JNG_CN-0048	Asia	Asia	Asia
CNCH-JNG_CN-0049	Asia	Asia	Asia
CNCH-JNG_CN-0050	Asia	Asia	Asia
CNCH-JNG_CN-0051	Asia	Asia	Asia
CNCH-TIB_CN-0001	Asia	Asia	Asia
CNCH-TIB_CN-0002	Asia	Asia	Asia
CNCH-TIB_CN-0003	Asia	Asia	Asia
CNCH-TIB_CN-0004	Asia	Asia	Asia
CNCH-TIB_CN-0005	Asia	Asia	Asia
CNCH-TIB_CN-0006	Asia	Asia	Asia
CNCH-TIB_CN-0007	Asia	Asia	Asia
CNCH-TIB_CN-0008	Asia	Asia	Asia
CNCH-TIB_CN-0009	Asia	Asia	Asia
CNCH-TIB_CN-0010	Asia	Asia	Asia
CNCH-TIB_CN-0011	Asia	Asia	Asia
CNCH-TIB_CN-0012	Asia	Asia	Asia
CNCH-TIB_CN-0013	Asia	Asia	Asia
CNCH-TIB_CN-0015	Asia	Asia	Asia
CNCH-TIB_CN-0016	Asia	Asia	Asia
CNCH-UNK_CN-0017	Asia	Asia	Asia
CNCH-UNK_CN-0018	Asia	Asia	Asia
CNCH-UNK_CN-0019	Asia	Asia	Asia
CNCH-LAO_CN-0001	Asia	Asia	Asia
CNCH-LAO_CN-0002	Asia	Asia	Asia
CNCH-UNK_CN-0020	Asia	Asia	Asia
CNCH-UNK_CN-0021	Asia	Asia	Asia
BDCH-BDG_BD-0003	Asia	Asia	Asia
BDCH-BOI_BD-0002	Asia	Asia	Asia
BDCH-BDG_BD-0005	Asia	Asia	Asia
CNCH-UNK_CN-0008	Asia	Asia	Asia
CNCH-LON_CN-0014	Asia	Asia	Asia
CNCH-TIB_CN-0021	Asia	Asia	Asia
CNCH-UNK_CN-0007	Asia	Asia	Asia
CNCH-LON_CN-0017	Asia	Asia	Asia
CNCH-LON_CN-0018	Asia	Asia	Asia
CNCH-LON_CN-0015	Asia	Asia	Asia
CNCH-UNK_CN-0016	Asia	Asia	Asia
CNCH-LON_CN-0019	Asia	Asia	Asia
CNCH-UNK_CN-0013	Asia	Asia	Asia
CNCH-UNK_CN-0010	Asia	Asia	Asia
CNCH-XIA_CN-0011	Asia	Asia	Asia
CNCH-MAT_CN-0012	Asia	Asia	Asia
CNCH-LVL_CN-0013	Asia	Asia	Asia
CNCH-JNG_CN-0011	Asia	Asia	Asia
CNCH-SAW_CN-0003	Asia	Asia	Asia
CNCH-CDM_CN-0014	Asia	Asia	Asia
